name,base-drink,topping,fruit,type,country,item,price
ShinyTea,milk;oolong tea,pudding,,milk tea,US,Pudding Oolong Milk Tea,4.75
ShinyTea,milk;pu-er tea,coffee jelly,,milk tea,US,Coffee Jelly Pu-erh Milk Tea,4.5
ShinyTea,milk;black tea,,,milk tea,US,Classic Milk Tea,4.25
ShinyTea,milk;jasmine tea,,,milk tea,US,Jasmine Green Milk Tea,4.25
ShinyTea,milk;green tea,,,milk tea,US,Fresh Jade Milk Tea,4.75
ShinyTea,milk;oolong tea,,,milk tea,US,WenShan Milk Tea,4.5
ShinyTea,milk;oolong tea,,,milk tea,US,Oolong Milk Tea,4.25
ShinyTea,milk;oolong tea,,,milk tea,US,TieGuanYin Milk Tea,4.25
ShinyTea,milk;pu-er tea,,,milk tea,US,Pu-erh Milk Tea,4.25
ShinyTea,milk;black tea,caramel,,milk tea,US,Caramel Milk Tea,4.75
ShinyTea,milk;black tea,brown sugar,,milk tea,US,Brown Sugar Milk Tea,4.75
ShinyTea,milk;black tea;jujube,,longan,milk tea,US,Longan and Red Date Milk Tea,4.25
ShinyTea,milk;black tea,taro,,milk tea,US,Taro Milk Tea,4.75
ShinyTea,milk;black tea,mung bean,,milk tea,US,Mung Bean Black Milk Tea,4.75
ShinyTea,milk;green tea,mung bean,,milk tea,US,Mung Bean Green Milk Tea,4.75
ShinyTea,milk;black tea;cocoa,,,milk tea,US,Chocolate Milk Tea,5.25
ShinyTea,milk;black tea;cocoa,,,milk tea,US,Ovaltine Milk Tea,5.0
ShinyTea,black tea;milk,,,milk tea,US,Black Tea Latte,4.75
ShinyTea,green tea;milk,,,milk tea,US,Green Tea Latte,4.75
ShinyTea,oolong tea;milk,,,milk tea,US,Oolong Tea Latte,4.75
ShinyTea,oolong tea;milk,,,milk tea,US,TieGuanYin Tea Latte,4.75
ShinyTea,pu-er tea;milk,,,milk tea,US,Pu-erh Tea Latte,4.75
ShinyTea,black tea;milk,caramel,,milk tea,US,Caramel Black Tea Latte,5.0
ShinyTea,pu-er tea;milk,caramel,,milk tea,US,Caramel Pu-erh Tea Latte,5.0
ShinyTea,black tea;milk,brown sugar,,milk tea,US,Brown Sugar Black Tea Latte,5.0
ShinyTea,black tea,honey,,tea,US,Honey Black Tea,4.25
ShinyTea,green tea,honey,,tea,US,Honey Green Tea,4.25
ShinyTea,oolong tea,honey,,tea,US,Honey Oolong Tea,4.25
ShinyTea,oolong tea,honey,,tea,US,Honey TieGuanYin Tea,4.25
ShinyTea,pu-er tea,honey,,tea,US,Honey Pu-erh Tea,4.25
ShinyTea,water,honey,,water,US,Taiwan Honey,4.25
ShinyTea,black tea,,kumquat,fruit tea,US,Kumquat Black Tea,4.75
ShinyTea,black tea,,lemon,fruit tea,US,Lemon Black Tea,4.75
ShinyTea,green tea,,lemon,fruit tea,US,Lemon Green Tea,4.75
ShinyTea,green tea,,lemon,fruit tea,US,Lemon Premium Green Tea,5.0
ShinyTea,green tea,,lemon,fruit tea,US,Lemon Fresh Jade Green Tea,5.25
ShinyTea,black tea,,mango,fruit tea,US,Mango Black Tea,4.5
ShinyTea,green tea,,mango,fruit tea,US,Mango Green Tea,4.5
ShinyTea,green tea,,mango,fruit tea,US,Mango Premium Green Tea,4.75
ShinyTea,green tea,,grapefruit,fruit tea,US,Grapefruit Premium Green Tea,4.75
ShinyTea,green tea,,grapefruit,fruit tea,US,Grapefruit Green Tea,4.75
ShinyTea,black tea,,passion fruit,fruit tea,US,Passion Fruit Black Tea,4.75
ShinyTea,green tea,,passion fruit,fruit tea,US,Passion Fruit Green Tea,4.75
ShinyTea,green tea,,passion fruit,fruit tea,US,Passion Fruit Premium Green Tea,5.0
ShinyTea,oolong tea;wintermelon tea,,,tea,US,Winter Melon Oolong Tea,4.75
ShinyTea,green tea;wintermelon tea,,,tea,US,Winter Melon Premium Green Tea,5.0
ShinyTea,black tea,,pineapple,fruit tea,US,Gold Pineapple Black Tea,4.75
ShinyTea,green tea,,pineapple,fruit tea,US,Gold Pineapple Green Tea,4.75
ShinyTea,black tea;vinegar,,apple,fruit tea,US,Apple Vinegar Tea,4.0
ShinyTea,oolong tea;vinegar,,apple,fruit tea,US,Apple Vinegar Oolong Tea,4.0
ShinyTea,black tea;vinegar,,kumquat,fruit tea,US,Kumquat Vinegar Black Tea,4.0
ShinyTea,green tea;vinegar,,kumquat,fruit tea,US,Kumquat Vinegar Green Tea,4.0
ShinyTea,lemonade,,lemon,lemonade,US,Fresh Squeezed Lemonade,4.75
ShinyTea,lemonade;wintermelon tea,,,lemonade,US,Winter Melon with Fresh Squeezed Lemonade,4.75
ShinyTea,,,kumquat,juice,US,Kumquat Juice,4.75
ShinyTea,lemonade,,kumquat,lemonade,US,Kumquat with Fresh Squeezed Lemonade,4.75
ShinyTea,lemonade,honey,,lemonade,US,Honey with Fresh Squeezed Lemonade,4.75
ShinyTea,lemonade;jujube,,longan,juice,US,Longan Red Date Juice,4.75
ShinyTea,black tea;ginger,,,tea,US,Ginger Black Tea,4.25
ShinyTea,milk;black tea;ginger,,,milk tea,US,Ginger Milk Tea,4.75
ShinyTea,milk;black tea;ginger;jujube,,longan,milk tea,US,Ginger Longan and Red Date Tea,5.25
XingFuTang,milk,brown sugar;boba,,milk,US,Brown Sugar Boba Milk,6.89
XingFuTang,milk;black tea,boba,,milk tea,US,Boba Milk Tea,5.97
XingFuTang,milk,boba,,milk,US,Dalgona Boba Milk,6.89
XingFuTang,coffee,,,coffee,US,Dalgona Coffee,6.43
XingFuTang,milk,herbal jelly;boba,,milk,US,Herbal Jelly Boba Milk,6.89
XingFuTang,green tea,,grapefruit,fruit tea,US,Grapefruit Green Tea,6.43
XingFuTang,green tea,,lime,fruit tea,US,Lime Green Tea,6.43
XingFuTang,rose tea,,lime,fruit tea,US,Damascus Rose Tea with Lime,6.43
XingFuTang,jasmine tea,honey,,tea,US,Jasmine Tea with Honeycomb,6.43
XingFuTang,oolong tea,,,tea,US,Kirin King Roasted Oolong Tea,5.97
XingFuTang,matcha;milk,boba,,milk,US,Matcha Boba Milk,6.89
XingFuTang,oolong tea;milk,,,milk tea,US,Oolong Milk Tea,6.43
XingFuTang,milk,taro;boba,,milk,US,Taro Boba Milk,6.89
XingFuTang,milk;black tea,taro;boba,,milk tea,US,Taro Boba Milk Tea,6.43
XingFuTang,milk,boba,strawberry,milk,US,Strawberry Boba Milk,6.89
XingFuTang,soda,jelly,,soda,US,Soda and Handmade Jelly,6.43
XingFuTang,milk,ube,,milk,US,Ube Boba Milk,6.89
YiFang,oolong tea,,pineapple;passion fruit;apple,fruit tea,US,Yifang Fruit Tea *New Version*,7.5
YiFang,green tea,,passion fruit,fruit tea,US,Passion Fruit Green Tea *New Version*,7.25
YiFang,green tea,,pineapple,fruit tea,US,Pineapple Green Tea,6.9
YiFang,green tea,,green plum,fruit tea,US,Green Plum Green Tea,6.9
YiFang,green tea,aiyu jelly,lemon,tea,US,Aiyu Jelly Lemon Green Tea,6.9
YiFang,wintermelon tea;lemonade,,,tea,US,Winter Melon Lemonade Tea,6.9
YiFang,oolong tea,,lemon,fruit tea,US,Lemon Mountain Tea,6.9
YiFang,oolong tea,,orange,fruit tea,US,Large Orange Fruit Tea,8.75
YiFang,green tea,,lemon,fruit tea,US,Lemon Green Tea,6.9
YiFang,green tea,,grapefruit,fruit tea,US,Grapefruit Green Tea,8.75
YiFang,coconut milk,sago;grapefruit pulp,mango,milk,US,Mango Pomelo Sago (L),10.0
YiFang,coconut milk,sago,mango,milk,US,Mango Sago (L),9.75
YiFang,oolong tea,,mango,fruit tea,US,Mango Fruit Tea (L) *New Version*,9.75
YiFang,oolong tea,,peach,fruit tea,US,Peach Fruit Tea L,8.75
YiFang,oolong tea,milk foam,peach,fruit tea,US,Peach Fruit Tea w Cheese Milk Foam L,9.75
YiFang,oolong tea;sparkling,,peach,fruit tea,US,Sparkling Peach Fruit Tea L,9.75
YiFang,milk,,strawberry,milk,US,Strawberry Latte L,9.75
YiFang,milk,sago,strawberry,milk,US,Strawberry Sago Latte L,9.95
YiFang,milk,milk foam,strawberry,milk,US,Strawberry Latte w Cheese Foam L,9.95
YiFang,oolong tea;yakult,,pineapple,fruit tea,US,Yakult Pineapple Tea,8.25
YiFang,oolong tea;yakult,,passion fruit,fruit tea,US,Yakult Passion Fruit Tea *New Version*,8.5
YiFang,green tea;yakult,,,tea,US,Yakult Mountain Green Tea,8.25
YiFang,black tea;milk,,,milk tea,US,Black Tea Latte,6.25
YiFang,oolong tea;milk,,,milk tea,US,Oolong Tea Latte,6.25
YiFang,green tea;milk,,,milk tea,US,Green Tea Latte,6.25
YiFang,black tea;milk,pearl,,milk tea,US,Pearl Black Tea Latte,7.25
YiFang,milk;matcha,,,matcha,US,Matcha Latte,7.25
YiFang,oolong tea;milk,herbal jelly,,milk tea,US,Grass Jelly Tea Latte,6.25
YiFang,milk,taro,,milk,US,Taro Latte,8.15
YiFang,green tea;milk,taro,,milk tea,US,Taro Green Tea Latte,8.15
YiFang,milk,caramel;pudding,,milk,US,Caramel Pudding Latte,7.25
YiFang,milk,red bean;jelly;cake,,milk,US,Sweet Red Bean Jelly Cake Latte,9.75
YiFang,black tea;milk,red bean,,milk tea,US,Sweet Red Bean Black Tea Latte,7.5
YiFang,milk,red bean;sago,,milk,US,Sweet Red bean sago Latte,9.45
YiFang,coconut milk,red bean;sticky rice,,milk,US,Red Bean Black Glutinous Rice with Coconut Latte,9.95
YiFang,black tea,milk foam,,cheese tea,US,Medium Salty Cream with Black Tea,6.95
YiFang,green tea,milk foam,,cheese tea,US,Medium Salty Cream with Green Tea,6.95
YiFang,oolong tea,milk foam,,cheese tea,US,Medium Salty Cream with Oolong Tea,6.95
